Plant,Seeding Date,Days till Emergence,Days till Double Ridge,Days till Anthesis,Days till Maturity
1979Early,1978-09-22,13,167,98,55
1980Early,1979-09-21,6,155,104,63
1981Early,1980-09-16,12,158,106,54
1979Late,1978-10-15,14,164,82,55
1980Late,1979-10-21,16,151,75,62
1981Late,1980-11-01,24,138,78,49
