,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
47,0,0,0,0,0,0,0,3.35,32.84,73.21,102.92,120.2,122.87,104.31,87.97,59.44,22.44,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,4.15,35.82,73.34,102.5,120.39,124.66,112.52,88.71,57.24,21.83,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,4.18,35.45,73.27,103.39,123.83,127.12,116,92.84,60.17,25.41,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,5.07,36.21,73.51,103.87,120.15,121.37,103.8,85.46,54.54,20.32,0.98,0,0,0,0,0,0
51,0,0,0,0,0,0,0,5.25,31.54,65.95,92.98,112.85,113.13,104.06,84.12,56.39,22.57,1.44,0,0,0,0,0,0
52,0,0,0,0,0,0,0,5.86,35.99,72.48,98.95,116.66,123.84,111.46,89.84,57.72,22.34,1.67,0,0,0,0,0,0
53,0,0,0,0,0,0,0,6.24,29.55,60.97,87.47,101.36,104.4,98.37,79.33,55.18,21.71,1.94,0,0,0,0,0,0
54,0,0,0,0,0,0,0,7.54,38,76.83,103.26,122.16,119.73,109.42,90.68,61.99,25.78,2.29,0,0,0,0,0,0
55,0,0,0,0,0,0,0,8.73,42.23,84.07,117.26,131.37,134.15,121.77,96.85,64.4,27.13,2.48,0,0,0,0,0,0
56,0,0,0,0,0,0,0,9.83,47.09,92.02,126.64,142.68,139.77,125.86,100.29,68.46,27.98,2.74,0,0,0,0,0,0
57,0,0,0,0,0,0,0,11.18,50.04,97.91,131.54,143.64,145.05,133.24,109.36,77.51,34.33,3.43,0,0,0,0,0,0
58,0,0,0,0,0,0,0,12.65,49.48,94.68,128.36,147.1,147.08,135.46,110.82,78.03,35.17,3.73,0,0,0,0,0,0
59,0,0,0,0,0,0,0,12.37,42.86,79.88,106.67,118.29,118.68,103.34,79.32,53.88,24.49,3.35,0,0,0,0,0,0
60,0,0,0,0,0,0,0,14.17,47.39,82.59,109.07,126.92,129.6,117.48,98.64,66.26,29.92,4.39,0,0,0,0,0,0
61,0,0,0,0,0,0,0,16.39,58.77,102.71,131.92,152.42,155.08,147.28,124.6,86.43,39.17,5.15,0,0,0,0,0,0
62,0,0,0,0,0,0,0,15.03,49.83,90.39,117.85,134.12,128.52,121.04,98.48,67.48,32.75,5.34,0,0,0,0,0,0
63,0,0,0,0,0,0,0,19.14,61.3,104.11,137.68,154.95,150.87,137.02,113.08,81.62,38.42,5.93,0,0,0,0,0,0
