Date,Growing Year,Thermal Time,Cumulative Thermal Time
12/01/1981,1980-1981,2.4,1074
13/01/1981,1980-1981,3.3,1077.3
14/01/1981,1980-1981,4.7,1082
15/01/1981,1980-1981,1.15,1083.15
16/01/1981,1980-1981,2.7,1085.85
17/01/1981,1980-1981,3.2,1089.05
18/01/1981,1980-1981,3.2,1092.25
19/01/1981,1980-1981,3.4,1095.65
20/01/1981,1980-1981,3.2,1098.85
21/01/1981,1980-1981,5.45,1104.3
22/01/1981,1980-1981,6.75,1111.05
23/01/1981,1980-1981,9,1120.05
24/01/1981,1980-1981,8.05,1128.1
25/01/1981,1980-1981,5.05,1133.15
26/01/1981,1980-1981,5.85,1139
27/01/1981,1980-1981,6.4,1145.4
28/01/1981,1980-1981,6.35,1151.75
29/01/1981,1980-1981,5.1,1156.85
30/01/1981,1980-1981,2.7,1159.55
31/01/1981,1980-1981,3.85,1163.4
01/02/1981,1980-1981,6.45,1169.85
02/02/1981,1980-1981,5.25,1175.1
03/02/1981,1980-1981,4.15,1179.25
04/02/1981,1980-1981,3.35,1182.6
05/02/1981,1980-1981,4.4,1187
06/02/1981,1980-1981,7.4,1194.4
07/02/1981,1980-1981,9.3,1203.7
08/02/1981,1980-1981,9,1212.7
09/02/1981,1980-1981,7.2,1219.9
10/02/1981,1980-1981,2.4,1222.3
11/02/1981,1980-1981,2.4,1224.7
12/02/1981,1980-1981,2.3,1227
13/02/1981,1980-1981,2.15,1229.15
14/02/1981,1980-1981,1.95,1231.1
15/02/1981,1980-1981,2.25,1233.35
16/02/1981,1980-1981,3.25,1236.6
17/02/1981,1980-1981,2.5,1239.1
18/02/1981,1980-1981,1.7,1240.8
19/02/1981,1980-1981,1.05,1241.85
20/02/1981,1980-1981,1.3,1243.15
21/02/1981,1980-1981,0.95,1244.1
22/02/1981,1980-1981,1.05,1245.15
23/02/1981,1980-1981,1.1,1246.25
24/02/1981,1980-1981,1.05,1247.3
25/02/1981,1980-1981,0.8,1248.1
26/02/1981,1980-1981,0.4,1248.5
27/02/1981,1980-1981,2.85,1251.35
28/02/1981,1980-1981,4.55,1255.9
01/03/1981,1980-1981,6.1,1262
02/03/1981,1980-1981,5.4,1267.4
03/03/1981,1980-1981,3.85,1271.25
04/03/1981,1980-1981,1.55,1272.8
05/03/1981,1980-1981,3.75,1276.55
06/03/1981,1980-1981,6.9,1283.45
07/03/1981,1980-1981,8.45,1291.9
08/03/1981,1980-1981,10.9,1302.8
09/03/1981,1980-1981,10.5,1313.3
10/03/1981,1980-1981,11.45,1324.75
11/03/1981,1980-1981,11.3,1336.05
12/03/1981,1980-1981,9.95,1346
13/03/1981,1980-1981,8.7,1354.7
14/03/1981,1980-1981,5.75,1360.45
15/03/1981,1980-1981,6.25,1366.7
16/03/1981,1980-1981,4.25,1370.95
17/03/1981,1980-1981,2.8,1373.75
18/03/1981,1980-1981,5,1378.75
19/03/1981,1980-1981,7.3,1386.05
20/03/1981,1980-1981,9.3,1395.35
21/03/1981,1980-1981,9.2,1404.55
22/03/1981,1980-1981,8.3,1412.85
23/03/1981,1980-1981,6.95,1419.8
24/03/1981,1980-1981,9.5,1429.3
25/03/1981,1980-1981,11.65,1440.95
26/03/1981,1980-1981,9.75,1450.7
27/03/1981,1980-1981,8.8,1459.5
28/03/1981,1980-1981,13.25,1472.75
29/03/1981,1980-1981,9.75,1482.5
30/03/1981,1980-1981,6.45,1488.95
31/03/1981,1980-1981,5.45,1494.4
01/04/1981,1980-1981,6.95,1501.35
02/04/1981,1980-1981,7.55,1508.9
03/04/1981,1980-1981,6.1,1515
04/04/1981,1980-1981,5.05,1520.05
05/04/1981,1980-1981,5.7,1525.75
06/04/1981,1980-1981,6.75,1532.5
07/04/1981,1980-1981,7.5,1540
08/04/1981,1980-1981,10.35,1550.35
09/04/1981,1980-1981,12.9,1563.25
10/04/1981,1980-1981,12.35,1575.6
11/04/1981,1980-1981,15,1590.6
12/04/1981,1980-1981,10.85,1601.45
13/04/1981,1980-1981,8.65,1610.1
14/04/1981,1980-1981,9.35,1619.45
15/04/1981,1980-1981,9.55,1629
16/04/1981,1980-1981,8.05,1637.05
17/04/1981,1980-1981,6.25,1643.3
18/04/1981,1980-1981,5.85,1649.15
19/04/1981,1980-1981,5.2,1654.35
20/04/1981,1980-1981,6.15,1660.5
21/04/1981,1980-1981,4.4,1664.9
22/04/1981,1980-1981,4.1,1669
23/04/1981,1980-1981,3.5,1672.5
24/04/1981,1980-1981,3.2,1675.7
25/04/1981,1980-1981,3.55,1679.25
26/04/1981,1980-1981,3.7,1682.95
27/04/1981,1980-1981,5.35,1688.3
28/04/1981,1980-1981,4.65,1692.95
29/04/1981,1980-1981,9.35,1702.3
30/04/1981,1980-1981,11.35,1713.65
01/05/1981,1980-1981,6.7,1720.35
02/05/1981,1980-1981,5.7,1726.05
03/05/1981,1980-1981,3.8,1729.85
04/05/1981,1980-1981,7.7,1737.55
05/05/1981,1980-1981,6.3,1743.85
06/05/1981,1980-1981,11.4,1755.25
07/05/1981,1980-1981,11.95,1767.2
08/05/1981,1980-1981,13.25,1780.45
09/05/1981,1980-1981,10.35,1790.8
10/05/1981,1980-1981,12.55,1803.35
11/05/1981,1980-1981,13.65,1817
12/05/1981,1980-1981,12.85,1829.85
13/05/1981,1980-1981,12.1,1841.95
14/05/1981,1980-1981,12.35,1854.3
15/05/1981,1980-1981,11.65,1865.95
16/05/1981,1980-1981,10.65,1876.6
17/05/1981,1980-1981,9.8,1886.4
18/05/1981,1980-1981,9.15,1895.55
19/05/1981,1980-1981,12.9,1908.45
20/05/1981,1980-1981,15.95,1924.4
21/05/1981,1980-1981,11.6,1936
22/05/1981,1980-1981,11.25,1947.25
23/05/1981,1980-1981,12.05,1959.3
24/05/1981,1980-1981,10,1969.3
25/05/1981,1980-1981,9,1978.3
26/05/1981,1980-1981,9.6,1987.9
27/05/1981,1980-1981,11.1,1999
28/05/1981,1980-1981,12,2011
29/05/1981,1980-1981,11.8,2022.8
30/05/1981,1980-1981,14.35,2037.15
31/05/1981,1980-1981,15.85,2053
01/06/1981,1980-1981,14.95,2067.95
02/06/1981,1980-1981,15.75,2083.7
03/06/1981,1980-1981,13.5,2097.2
04/06/1981,1980-1981,11.45,2108.65
05/06/1981,1980-1981,11.9,2120.55
06/06/1981,1980-1981,12.45,2133
07/06/1981,1980-1981,11.35,2144.35
08/06/1981,1980-1981,15.05,2159.4
09/06/1981,1980-1981,13.3,2172.7
10/06/1981,1980-1981,11.75,2184.45
11/06/1981,1980-1981,13.5,2197.95
12/06/1981,1980-1981,12.7,2210.65
13/06/1981,1980-1981,15.35,2226
14/06/1981,1980-1981,18.25,2244.25
15/06/1981,1980-1981,17.25,2261.5
16/06/1981,1980-1981,11.3,2272.8
17/06/1981,1980-1981,10.95,2283.75
18/06/1981,1980-1981,10.55,2294.3
19/06/1981,1980-1981,10.3,2304.6
20/06/1981,1980-1981,13.45,2318.05
21/06/1981,1980-1981,12.6,2330.65
22/06/1981,1980-1981,13.4,2344.05
23/06/1981,1980-1981,15.3,2359.35
24/06/1981,1980-1981,13.65,2373
25/06/1981,1980-1981,11.5,2384.5
26/06/1981,1980-1981,10.1,2394.6
27/06/1981,1980-1981,10.1,2404.7
28/06/1981,1980-1981,8.8,2413.5
29/06/1981,1980-1981,11.55,2425.05
30/06/1981,1980-1981,13.8,2438.85
01/07/1981,1980-1981,14.1,2452.95
02/07/1981,1980-1981,12.3,2465.25
03/07/1981,1980-1981,12.6,2477.85
04/07/1981,1980-1981,12.7,2490.55
05/07/1981,1980-1981,16,2506.55
06/07/1981,1980-1981,17.05,2523.6
07/07/1981,1980-1981,17.45,2541.05
08/07/1981,1980-1981,17.95,2559
09/07/1981,1980-1981,19.45,2578.45
10/07/1981,1980-1981,17.1,2595.55
11/07/1981,1980-1981,14.9,2610.45
12/07/1981,1980-1981,14.95,2625.4
13/07/1981,1980-1981,16.75,2642.15
14/07/1981,1980-1981,15.25,2657.4
15/07/1981,1980-1981,16.85,2674.25
16/07/1981,1980-1981,14.75,2689
17/07/1981,1980-1981,12.55,2701.55
18/07/1981,1980-1981,13.5,2715.05
19/07/1981,1980-1981,13.45,2728.5
20/07/1981,1980-1981,17.8,2746.3
21/07/1981,1980-1981,18.5,2764.8
22/07/1981,1980-1981,14.55,2779.35
23/07/1981,1980-1981,12.8,2792.15
24/07/1981,1980-1981,11.55,2803.7
25/07/1981,1980-1981,12.25,2815.95
26/07/1981,1980-1981,16.1,2832.05
27/07/1981,1980-1981,17.15,2849.2
28/07/1981,1980-1981,19,2868.2
29/07/1981,1980-1981,17.3,2885.5
30/07/1981,1980-1981,15.8,2901.3
31/07/1981,1980-1981,13.55,2914.85
01/08/1981,1980-1981,13.85,2928.7
02/08/1981,1980-1981,13.8,2942.5
03/08/1981,1980-1981,15.25,2957.75
04/08/1981,1980-1981,19.75,2977.5
05/08/1981,1980-1981,20.14371995,2997.64372
06/08/1981,1980-1981,15.85,3013.49372
07/08/1981,1980-1981,15.1,3028.59372
08/08/1981,1980-1981,15.3,3043.89372
09/08/1981,1980-1981,14.15,3058.04372
10/08/1981,1980-1981,16.45,3074.49372
11/08/1981,1980-1981,15.3,3089.79372
12/08/1981,1980-1981,17.25,3107.04372
13/08/1981,1980-1981,17.4,3124.44372
14/08/1981,1980-1981,18.55,3142.99372
15/08/1981,1980-1981,20.15,3163.14372
16/08/1981,1980-1981,15,3178.14372
17/08/1981,1980-1981,13.8,3191.94372
18/08/1981,1980-1981,15.9,3207.84372
19/08/1981,1980-1981,15.65,3223.49372
20/08/1981,1980-1981,15.5,3238.99372
21/08/1981,1980-1981,13.55,3252.54372
22/08/1981,1980-1981,15.25,3267.79372
23/08/1981,1980-1981,14.85,3282.64372
24/08/1981,1980-1981,16.15,3298.79372
25/08/1981,1980-1981,16.75,3315.54372
26/08/1981,1980-1981,19.1,3334.64372
27/08/1981,1980-1981,17.41263392,3352.056354
28/08/1981,1980-1981,17.25,3369.306354
29/08/1981,1980-1981,17.45,3386.756354
30/08/1981,1980-1981,16.1,3402.856354
31/08/1981,1980-1981,15.8,3418.656354
