JDay,Min Temp
1.0,1.9042222222222223
2.0,1.4171111111111112
3.0,1.0542222222222222
4.0,1.0142222222222221
5.0,1.5906666666666667
6.0,1.0411111111111109
7.0,1.0304444444444445
8.0,1.026
9.0,0.9677777777777778
10.0,1.044
11.0,1.064888888888889
12.0,1.106888888888889
13.0,1.0542222222222222
14.0,0.8771111111111111
15.0,1.2497777777777779
16.0,1.1182222222222222
17.0,0.5764444444444444
18.0,0.52
19.0,1.1522222222222223
20.0,0.768
21.0,0.5426666666666667
22.0,0.878
23.0,0.5431111111111111
24.0,0.43844444444444447
25.0,0.22999999999999998
26.0,0.3855555555555555
27.0,0.9204444444444445
28.0,1.1791111111111112
29.0,1.5362222222222222
30.0,0.6664444444444444
31.0,0.6871111111111111
32.0,1.1151111111111112
33.0,0.7575555555555556
34.0,0.912
35.0,1.7277777777777779
36.0,1.952888888888889
37.0,1.8095555555555558
38.0,0.8582222222222222
39.0,0.606
40.0,0.7431111111111111
41.0,0.08155555555555552
42.0,0.5070454545454546
43.0,0.3454545454545454
44.0,0.12613636363636369
45.0,-0.11136363636363633
46.0,0.6886363636363636
47.0,0.8345454545454545
48.0,1.0818181818181818
49.0,1.0345454545454544
50.0,0.6175
51.0,1.0688636363636363
52.0,1.1802272727272727
53.0,0.9045454545454547
54.0,1.270909090909091
55.0,1.2295454545454545
56.0,0.7277272727272727
57.0,0.8563636363636363
58.0,1.2086363636363637
59.0,1.2088636363636365
60.0,0.9843181818181819
61.0,0.9261363636363636
62.0,0.8113636363636364
63.0,0.3684090909090909
64.0,0.6645454545454546
65.0,1.4938636363636364
66.0,1.9352272727272728
67.0,1.7902272727272726
68.0,2.221818181818182
69.0,2.606590909090909
70.0,2.455
71.0,2.313181818181818
72.0,2.4586363636363635
73.0,2.2197727272727272
74.0,2.911363636363636
75.0,3.095
76.0,3.181590909090909
77.0,2.6540909090909093
78.0,2.4229545454545454
79.0,2.0738636363636362
80.0,2.4475
81.0,2.6654545454545455
82.0,2.5506818181818183
83.0,2.9518181818181817
84.0,2.5936363636363637
85.0,2.400681818181818
86.0,2.2029545454545456
87.0,2.262272727272727
88.0,2.936818181818182
89.0,3.3654545454545457
90.0,3.650227272727273
91.0,3.4063636363636363
92.0,3.0604545454545455
93.0,2.7190909090909092
94.0,2.8197727272727273
95.0,3.0204545454545455
96.0,3.2077272727272725
97.0,2.8675
98.0,2.498863636363636
99.0,2.869772727272727
100.0,3.0670454545454544
101.0,2.7877272727272726
102.0,3.132045454545455
103.0,2.771136363636364
104.0,3.0013636363636365
105.0,3.3275
106.0,3.7088636363636365
107.0,3.264545454545455
108.0,3.25
109.0,3.4427272727272724
110.0,3.6984090909090908
111.0,3.742272727272727
112.0,4.628181818181818
113.0,5.153636363636363
114.0,4.54840909090909
115.0,4.761363636363637
116.0,4.5190909090909095
117.0,4.3075
118.0,4.645681818181818
119.0,4.863409090909091
120.0,5.067272727272727
121.0,5.264318181818182
122.0,4.99
123.0,4.9602272727272725
124.0,4.872045454545455
125.0,5.053636363636364
126.0,5.601818181818182
127.0,5.8338636363636365
128.0,6.1036363636363635
129.0,6.211363636363637
130.0,6.59
131.0,6.432045454545454
132.0,5.946590909090909
133.0,6.367954545454546
134.0,6.168863636363636
135.0,6.347727272727273
136.0,6.60159090909091
137.0,6.83840909090909
138.0,6.752954545454545
139.0,7.130227272727273
140.0,7.3945454545454545
141.0,7.233181818181818
142.0,7.354318181818181
143.0,7.739545454545455
144.0,7.880909090909091
145.0,7.634772727272727
146.0,7.5852272727272725
147.0,7.945681818181819
148.0,7.847045454545454
149.0,7.639772727272727
150.0,7.895909090909091
151.0,8.053409090909092
152.0,8.268181818181818
153.0,9.042727272727273
154.0,8.591363636363637
155.0,8.220227272727273
156.0,8.312954545454545
157.0,8.59681818181818
158.0,8.802954545454545
159.0,8.780454545454544
160.0,8.962272727272726
161.0,8.975
162.0,9.253636363636364
163.0,9.397954545454546
164.0,9.242045454545455
165.0,9.506363636363636
166.0,9.181363636363637
167.0,9.763409090909091
168.0,10.137954545454546
169.0,10.202499999999999
170.0,10.032954545454546
171.0,10.102727272727272
172.0,10.073636363636364
173.0,10.023863636363636
174.0,9.982954545454545
175.0,10.284772727272726
176.0,10.506136363636363
177.0,10.679318181818182
178.0,10.790681818181818
179.0,10.533863636363636
180.0,10.77
181.0,10.501136363636364
182.0,10.939772727272727
183.0,10.842954545454544
184.0,10.789090909090909
185.0,10.95590909090909
186.0,11.533863636363636
187.0,11.47181818181818
188.0,11.586136363636363
189.0,11.64340909090909
190.0,11.522045454545454
191.0,11.562727272727273
192.0,11.74068181818182
193.0,11.451590909090909
194.0,11.522727272727273
195.0,11.855681818181818
196.0,11.80659090909091
197.0,11.844999999999999
198.0,11.603863636363636
199.0,11.954318181818183
200.0,12.264999999999999
201.0,12.157272727272726
202.0,11.903863636363637
203.0,11.973636363636365
204.0,12.351590909090909
205.0,12.409090909090908
206.0,12.077954545454544
207.0,12.266136363636365
208.0,12.790454545454544
209.0,12.461590909090908
210.0,12.39068181818182
211.0,12.221363636363636
212.0,12.489999999999998
213.0,12.289318181818182
214.0,12.04
215.0,12.420454545454545
216.0,12.132272727272728
217.0,11.931136363636364
218.0,12.094545454545454
219.0,12.010454545454547
220.0,12.06409090909091
221.0,12.343636363636364
222.0,12.188636363636363
223.0,12.172954545454546
224.0,12.3975
225.0,11.976590909090909
226.0,11.83090909090909
227.0,12.307045454545454
228.0,11.586590909090908
229.0,11.619545454545454
230.0,11.89590909090909
231.0,12.065227272727272
