JDay,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
35,0,0,0,0,0,0,0,0,18.30791667,45.08291667,74.0175,88.87916667,96.09708333,84.3525,63.73791667,33.56791667,8.12125,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,20.73875,51.92375,77.46041667,90.89833333,89.43375,76.84333333,59.46458333,32.48166667,8.964583333,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,20.95583333,49.42125,75.61958333,92.45291667,95.48458333,92.03125,70.52208333,37.45833333,9.939583333,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,26.28958333,57.55,89.53416667,104.72,107.1220833,94.35916667,74.21083333,42.56291667,11.20625,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,23.66416667,54.04458333,81.80291667,97.01083333,100.4454167,90.44833333,72.89125,41.73041667,11.86833333,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0.90625,23.185,50.12291667,81.64041667,98.28791667,108.1429167,98.80625,75.60916667,46.58166667,13.56458333,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,1.310416667,22.29125,49.655,77.15166667,94.3225,96.91583333,87.78083333,68.81833333,40.21333333,12.92208333,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,1.53625,25.52291667,57.61416667,84.56833333,102.5079167,111.01,98.95833333,78.065,45.12458333,16.14083333,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,1.91375,27.81666667,54.00791667,84.81458333,99.38583333,100.60875,88.11875,68.49125,42.41458333,15.67583333,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,2.103333333,26.5475,56.52291667,87.82791667,102.11875,108.4483333,96.36625,74.54583333,45.17916667,15.90833333,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,2.617916667,30.21958333,68.74291667,100.815,117.0575,116.4320833,106.3179167,82.11416667,51.21625,17.9075,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,2.8725,31.80375,68.55083333,99.41833333,120.9683333,124.73625,112.68,88.69333333,56.75041667,20.56375,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,3.35125,32.83916667,73.2125,102.9170833,120.1958333,122.8754167,104.31375,87.96958333,59.43541667,22.44208333,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,4.152916667,35.81666667,73.34208333,102.495,120.39125,124.6608333,112.51875,88.71291667,57.23791667,21.83083333,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,4.176666667,35.44916667,73.27458333,103.3895833,123.8254167,127.1166667,116.0033333,92.83541667,60.17291667,25.41,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,5.07,36.20833333,73.51083333,103.8716667,120.1516667,121.3654167,103.7970833,85.45958333,54.5425,20.31875,0.980833333,0,0,0,0,0,0
51,0,0,0,0,0,0,0,5.247083333,31.54083333,65.95291667,92.985,112.8566667,113.1270833,104.0616667,84.11791667,56.39625,22.57416667,1.442083333,0,0,0,0,0,0
52,0,0,0,0,0,0,0,5.864166667,35.99166667,72.48375,98.94625,116.6579167,123.8358333,111.4633333,89.845,57.71791667,22.33666667,1.665,0,0,0,0,0,0
53,0,0,0,0,0,0,0,6.243333333,29.54916667,60.975,87.47208333,101.3625,104.4008333,98.37333333,79.33166667,55.17708333,21.71041667,1.943333333,0,0,0,0,0,0
54,0,0,0,0,0,0,0,7.540833333,37.99916667,76.83291667,103.2633333,122.1645833,119.725,109.4183333,90.67916667,61.99083333,25.78125,2.290416667,0,0,0,0,0,0
55,0,0,0,0,0,0,0,8.725,42.22666667,84.06791667,117.2579167,131.3729167,134.1516667,121.7741667,96.84833333,64.39708333,27.13166667,2.48375,0,0,0,0,0,0
56,0,0,0,0,0,0,0,9.827916667,47.08958333,92.01875,126.6420833,142.6758333,139.7666667,125.8579167,100.29125,68.46083333,27.9825,2.739583333,0,0,0,0,0,0
57,0,0,0,0,0,0,0,11.18,50.04375,97.91458333,131.5345833,143.6370833,145.04625,133.2366667,109.3545833,77.50791667,34.33041667,3.4275,0,0,0,0,0,0
58,0,0,0,0,0,0,0,12.64541667,49.47375,94.685,128.3608333,147.0983333,147.0825,135.4595833,110.8229167,78.02791667,35.16875,3.729583333,0,0,0,0,0,0
59,0,0,0,0,0,0,0,12.3675,42.85583333,79.88125,106.6704167,118.2904167,118.6775,103.33875,79.32583333,53.87958333,24.49333333,3.352083333,0,0,0,0,0,0
60,0,0,0,0,0,0,0,14.17041667,47.38833333,82.59041667,109.075,126.9241667,129.5945833,117.4820833,98.64458333,66.255,29.92416667,4.387083333,0,0,0,0,0,0
61,0,0,0,0,0,0,0,16.39291667,58.76625,102.7120833,131.9158333,152.4254167,155.0775,147.2795833,124.5995833,86.43083333,39.16666667,5.1525,0,0,0,0,0,0
62,0,0,0,0,0,0,0,15.03083333,49.82916667,90.38333333,117.85125,134.1245833,128.5158333,121.04125,98.48,67.47625,32.74625,5.342916667,0,0,0,0,0,0
63,0,0,0,0,0,0,0,19.1425,61.30416667,104.11375,137.6783333,154.9504167,150.8704167,137.0191667,113.0754167,81.62333333,38.42291667,5.934583333,0,0,0,0,0,0
64,0,0,0,0,0,0,0,21.24416667,65.33083333,111.77,145.1479167,158.9708333,154.79875,142.37,116.195,77.02958333,35.32541667,6.14375,0,0,0,0,0,0
65,0,0,0,0,0,0,0,21.88375,60.79083333,108.1366667,138.5691667,161.405,156.53375,141.1579167,119.11625,84.14541667,42.09041667,7.400416667,0,0,0,0,0,0
66,0,0,0,0,0,0,0,24.99166667,64.3,110.2366667,142.7891667,168.1045833,171.44125,153.8983333,129.9033333,90.21833333,46.39833333,8.5275,0,0,0,0,0,0
67,0,0,0,0,0,0,0,25.25541667,59.15291667,102.5470833,134.2804167,151.1870833,151.96125,134.99,108.9770833,79.10708333,40.76583333,8.309583333,0,0,0,0,0,0
68,0,0,0,0,0,0,0.129166667,27.90083333,69.31833333,114.4566667,147.4729167,163.29375,160.2720833,143.44125,120.0483333,85.6025,43.4875,9.083333333,0,0,0,0,0,0
69,0,0,0,0,0,0,1.22125,23.62333333,61.64416667,98.03458333,120.9533333,136.1729167,137.1716667,125.2558333,105.3595833,74.9425,38.18666667,9.10375,0,0,0,0,0,0
