Plant,Seeding Date,Days till Emergence,Days till Double Ridge,Days till Anthesis,Days till Maturity,
1979Early,22/09/1978,13,167,98,55,
1980Early,21/09/1979,6,155,104,63,
1981Early,16/09/1980,12,158,106,54,
1979Late,15/10/1978,14,164,82,55,
1980Late,21/10/1979,16,151,75,62,
1981Late,01/11/1980,24,138,78,49,
