Date,Photovernalized-Affected Thermal Time
1979-04-18,6.25
1979-04-19,9.05
1979-04-20,10.05
1979-04-21,7.8
1979-04-22,8.55
1979-04-23,9.450000000000005
1979-04-24,7.35
1979-04-25,6.7
1979-04-26,7.05
1979-04-27,7.85
1979-04-28,7.399999999999999
1979-04-29,6.699999999999999
1979-04-30,6.6000000000000005
1979-05-01,5.15
1979-05-02,3.7
1979-05-03,4.650000000000001
1979-05-04,3.850000000000001
1979-05-05,4.7
1979-05-06,5.35
1979-05-07,8.500000000000002
1979-05-08,10.000000000000002
1979-05-09,9.35
1979-05-10,8.9
1979-05-11,12.25
1979-05-12,14.7
1979-05-13,16.299999999999997
1979-05-14,17.4
1979-05-15,18.05
1979-05-16,16.25
1979-05-17,10.65
1979-05-18,11.05
1979-05-19,9.8
1979-05-20,9.250000000000002
1979-05-21,10.8
1979-05-22,10.3
1979-05-23,10.75
1979-05-24,9.35
1979-05-25,8.75
1979-05-26,9.95
1979-05-27,10.2
1979-05-28,10.35
1979-05-29,14.95
1979-05-30,14.2
1979-05-31,12.95
1979-06-01,11.650000000000004
1979-06-02,14.05
1979-06-03,12.8
1979-06-04,15.5
1979-06-05,15.7
1979-06-06,11.95
1979-06-07,10.5
1979-06-08,12.05
1979-06-09,14.8
1979-06-10,13.800000000000002
1979-06-11,12.4
1979-06-12,11.0
1979-06-13,14.45
1979-06-14,13.35
1979-06-15,9.75
1979-06-16,13.8
1979-06-17,16.15
1979-06-18,16.950000000000003
1979-06-19,16.85
1979-06-20,17.599999999999998
1979-06-21,16.5
1979-06-22,13.300000000000002
1979-06-23,12.95
1979-06-24,12.0
1979-06-25,12.4
1979-06-26,12.6
1979-06-27,12.85
1979-06-28,13.4
1979-06-29,13.600000000000003
1979-06-30,12.65
1979-07-01,12.0
1979-07-02,12.4
1979-07-03,13.5
1979-07-04,15.9
1979-07-05,16.65
1979-07-06,18.1
1979-07-07,15.7
1979-07-08,15.7
1979-07-09,17.35
1979-07-10,14.9
1979-07-11,15.45
1979-07-12,16.95
1979-07-13,16.85
1979-07-14,14.8
1979-07-15,16.25
1979-07-16,15.05
1979-07-17,18.25
1979-07-18,17.55
1979-07-19,13.6
1979-07-20,16.0
1979-07-21,14.9
1979-07-22,11.25
1979-07-23,14.2
1979-07-24,15.5
1979-07-25,16.45
1979-07-26,17.5
1979-07-27,17.84441402866993
1979-07-28,19.8
1979-07-29,18.45
1979-07-30,16.5
1979-07-31,16.650000000000002
1979-08-01,16.8
1979-08-02,16.4
1979-08-03,15.7
1979-08-04,16.5
1979-08-05,15.95
1979-08-06,16.85
1979-08-07,18.15
1979-08-08,14.400000000000002
1979-08-09,14.3
1979-08-10,14.1
1979-08-11,18.200000000000003
1979-08-12,19.55
1979-08-13,16.85
1979-08-14,17.4
1979-08-15,14.499999999999998
1979-08-16,13.3
1979-08-17,15.2
1979-08-18,15.150000000000002
1979-08-19,15.2
1979-08-20,15.9
1979-08-21,15.9
1979-08-22,12.55
1979-08-23,10.0
1979-08-24,11.8
1979-08-25,11.15
1979-08-26,13.3
1979-08-27,12.2
1979-08-28,11.999999999999998
1979-08-29,13.7
1979-08-30,16.700000000000003
1979-08-31,15.45
1979-09-01,17.950000000000003
1979-09-02,16.65
1979-09-03,14.650000000000002
1979-09-04,15.4
1979-09-05,15.5
1979-09-06,17.150000000000002
1979-09-07,14.95
1979-09-08,15.499999999999998
1979-09-09,17.75
1979-09-10,16.15
1979-09-11,15.25
1979-09-12,13.35
1979-09-13,14.1
1979-09-14,9.85
1979-09-15,9.65
1979-09-16,11.8
1979-09-17,13.9
1979-09-18,15.1
1979-09-19,16.650000000000002
1979-09-20,12.4
1979-09-21,9.25
1979-09-22,7.45
1979-09-23,7.200000000000001
1979-09-24,11.25
1979-09-25,11.45
1979-09-26,15.500000000000002
1979-09-27,13.75
1979-09-28,10.35
1979-09-29,10.4
1979-09-30,11.9
1979-10-01,12.8
1979-10-02,12.150000000000002
1979-10-03,15.25
1979-10-04,14.5
1979-10-05,10.650000000000004
1979-10-06,10.25
1979-10-07,14.55
1979-10-08,13.85
1979-10-09,16.1
1979-10-10,13.950000000000005
1979-10-11,13.800000000000004
1979-10-12,14.0
1979-10-13,13.3
1979-10-14,11.25
1979-10-15,11.349999999999998
1979-10-16,11.75
1979-10-17,9.15
1979-10-18,10.7
1979-10-19,11.5
1979-10-20,10.3
1979-10-21,9.3
1979-10-22,8.700000000000001
1979-10-23,7.8
1979-10-24,7.85
1979-10-25,10.25
1979-10-26,10.15
1979-10-27,7.15
1979-10-28,5.1000000000000005
1979-10-29,7.000000000000001
1979-10-30,6.9
1979-10-31,9.85
1979-11-01,8.25
1979-11-02,6.6000000000000005
1979-11-03,9.5
1979-11-04,11.5
1979-11-05,8.0
1979-11-06,9.15
1979-11-07,9.05
1979-11-08,5.050000000000001
1979-11-09,4.4
1979-11-10,3.8
1979-11-11,4.7
1979-11-12,3.9
1979-11-13,2.35
1979-11-14,2.35
1979-11-15,3.55
1979-11-16,3.05
1979-11-17,3.6
1979-11-18,4.85
1979-11-19,6.1
1979-11-20,2.9000000000000004
1979-11-21,3.8
1979-11-22,4.5
1979-11-23,7.399999999999999
1979-11-24,4.0
1979-11-25,6.350000000000001
1979-11-26,9.75
1979-11-27,9.3
1979-11-28,9.6
1979-11-29,7.1000000000000005
1979-11-30,8.750000000000002
1979-12-01,10.45
1979-12-02,9.9
1979-12-03,8.899999999999999
1979-12-04,9.2
1979-12-05,10.9
1979-12-06,10.050000000000002
1979-12-07,10.15
1979-12-08,9.85
1979-12-09,9.250000000000002
1979-12-10,8.149999999999999
1979-12-11,5.95
1979-12-12,5.25
1979-12-13,5.35
1979-12-14,5.500000000000001
1979-12-15,5.550000000000001
1979-12-16,5.55
1979-12-17,4.85
1979-12-18,4.3500000000000005
1979-12-19,2.1
1979-12-20,1.9
1979-12-21,1.1
1979-12-22,1.0499999999999998
1979-12-23,0.75
1979-12-24,1.6
1979-12-25,1.9
1979-12-26,3.0
1979-12-27,5.950000000000001
1979-12-28,2.9
1979-12-29,2.25
1979-12-30,1.25
1979-12-31,1.2
1980-01-01,0.0
1980-01-02,0.0
1980-01-03,4.7
1980-01-04,4.1
1980-01-05,3.5000000000000004
1980-01-06,3.95
1980-01-07,4.250000000000001
1980-01-08,2.75
1980-01-09,1.55
1980-01-10,1.1
1980-01-11,1.0
1980-01-12,0.25
1980-01-13,0.55
1980-01-14,0.0
1980-01-15,1.1
1980-01-16,1.9
1980-01-17,2.05
1980-01-18,0.25
1980-01-19,1.9500000000000004
1980-01-20,2.8000000000000003
1980-01-21,3.7000000000000006
1980-01-22,4.45
1980-01-23,3.75
1980-01-24,3.25
1980-01-25,3.0000000000000004
1980-01-26,1.9
1980-01-27,1.55
1980-01-28,1.6999999999999995
1980-01-29,4.799999999999999
1980-01-30,5.65
1980-01-31,6.550000000000001
1980-02-01,3.3999999999999995
1980-02-02,4.450000000000001
1980-02-03,4.299999999999999
1980-02-04,4.199999999999999
1980-02-05,5.25
1980-02-06,6.050000000000001
1980-02-07,5.4
1980-02-08,5.9
1980-02-09,8.399999999999999
1980-02-10,6.8500000000000005
1980-02-11,6.55
1980-02-12,5.850000000000001
1980-02-13,5.8500000000000005
1980-02-14,6.199999999999999
1980-02-15,7.85
1980-02-16,4.2
1980-02-17,6.999999999999998
1980-02-18,6.800000000000001
1980-02-19,5.8
1980-02-20,4.449999999999999
1980-02-21,5.500000000000001
1980-02-22,7.549999999999999
1980-02-23,4.4
1980-02-24,2.9
1980-02-25,3.65
1980-02-26,2.25
1980-02-27,2.6
1980-02-28,4.1
1980-02-29,6.350000000000001
1980-03-01,5.950000000000001
1980-03-02,6.500000000000001
1980-03-03,2.5
1980-03-04,4.450000000000001
1980-03-05,3.55
1980-03-06,5.900000000000001
1980-03-07,4.8
1980-03-08,4.85
1980-03-09,5.15
1980-03-10,4.199999999999999
1980-03-11,5.2
1980-03-12,6.5
1980-03-13,4.25
1980-03-14,3.05
1980-03-15,2.15
1980-03-16,2.8000000000000003
1980-03-17,2.3000000000000003
1980-03-18,2.95
1980-03-19,0.75
1980-03-20,1.6
1980-03-21,0.75
1980-03-22,3.6
1980-03-23,4.35
1980-03-24,5.750000000000002
1980-03-25,7.649999999999999
1980-03-26,5.45
1980-03-27,7.9
1980-03-28,8.450000000000001
1980-03-29,7.25
1980-03-30,5.2
1980-03-31,7.6
1980-04-01,8.75
1980-04-02,7.65
1980-04-03,5.450000000000001
1980-04-04,5.95
1980-04-05,6.15
1980-04-06,7.9
1980-04-07,6.35
1980-04-08,5.500000000000002
1980-04-09,5.35
1980-04-10,6.9
1980-04-11,6.65
1980-04-12,8.850000000000001
1980-04-13,10.85
1980-04-14,12.45
1980-04-15,13.05
1980-04-16,13.0
1980-04-17,12.05
1980-04-18,10.7
1980-04-19,10.95
1980-04-20,4.9
1980-04-21,6.7
1980-04-22,7.5
1980-04-23,7.85
1980-04-24,8.299999999999999
1980-04-25,7.5
1980-04-26,4.6000000000000005
1980-04-27,7.750000000000002
1980-04-28,7.15
1980-04-29,6.6
1980-04-30,8.000000000000002
1980-05-01,9.500000000000004
1980-05-02,9.45
1980-05-03,8.1
1980-05-04,8.25
1980-05-05,7.1
1980-05-06,6.750000000000001
1980-05-07,7.3
1980-05-08,6.25
1980-05-09,5.8
1980-05-10,8.75
1980-05-11,11.6
1980-05-12,14.95
1980-05-13,15.499999999999998
1980-05-14,13.75
1980-05-15,11.800000000000002
1980-05-16,12.349999999999998
1980-05-17,11.6
1980-05-18,13.35
1980-05-19,13.65
1980-05-20,9.55
1980-05-21,14.0
1980-05-22,11.550000000000002
1980-05-23,8.6
1980-05-24,9.9
1980-05-25,10.7
1980-05-26,13.0
1980-05-27,12.499999999999998
1980-05-28,11.15
1980-05-29,9.95
1980-05-30,8.65
1980-05-31,8.7
1980-06-01,12.55
1980-06-02,12.4
1980-06-03,18.55
1980-06-04,19.298855309933494
1980-06-05,19.8
1980-06-06,13.7
1980-06-07,12.85
1980-06-08,12.9
1980-06-09,12.55
1980-06-10,15.35
1980-06-11,14.450000000000005
1980-06-12,15.65
1980-06-13,17.3
1980-06-14,15.15
1980-06-15,15.300000000000002
1980-06-16,14.3
1980-06-17,12.75
1980-06-18,13.65
1980-06-19,14.2
1980-06-20,11.3
1980-06-21,13.300000000000002
1980-06-22,10.8
1980-06-23,9.95
1980-06-24,10.8
1980-06-25,12.5
1980-06-26,13.05
1980-06-27,11.35
1980-06-28,12.55
1980-06-29,12.95
1980-06-30,12.45
1980-07-01,11.75
1980-07-02,14.6
1980-07-03,14.7
1980-07-04,13.85
1980-07-05,13.35
1980-07-06,12.999999999999998
1980-07-07,13.9
1980-07-08,12.15
1980-07-09,11.8
1980-07-10,12.05
1980-07-11,12.950000000000005
1980-07-12,13.25
1980-07-13,13.75
1980-07-14,12.25
1980-07-15,11.3
1980-07-16,12.999999999999998
1980-07-17,10.8
1980-07-18,14.1
1980-07-19,16.099999999999998
1980-07-20,13.75
1980-07-21,12.05
1980-07-22,13.8
1980-07-23,15.700000000000005
1980-07-24,16.05
1980-07-25,18.6
1980-07-26,19.2
1980-07-27,16.200000000000003
1980-07-28,16.6
1980-07-29,20.4
1980-07-30,16.750000000000004
1980-07-31,16.900000000000002
1980-08-01,15.85
1980-08-02,17.450000000000003
1980-08-03,17.900000000000002
1980-08-04,17.95
