Date,Total Degree Days,Sum Unaffected Daily Thermal Time
1980-09-16,15.6,16.6
1980-09-17,28.2,30.200000000000003
1980-09-18,41.55,44.550000000000004
1980-09-19,57.5,61.5
1980-09-20,72.45,77.45
1980-09-21,87.65,93.65
1980-09-22,101.05000000000001,108.05000000000001
1980-09-23,113.80000000000001,121.80000000000001
1980-09-24,125.80000000000001,134.8
1980-09-25,137.25,147.25
1980-09-26,148.75,159.75
1980-09-27,149.5,172.8
1980-09-28,149.5,185.60000000000002
1980-09-29,149.5,199.15000000000003
1980-09-30,149.5,212.70000000000005
1980-10-01,149.5,224.05000000000004
1980-10-02,149.5,234.30000000000004
1980-10-03,149.5,243.55000000000004
1980-10-04,149.58743788829918,254.60000000000005
1980-10-05,149.77051759580186,262.20000000000005
1980-10-06,150.2841418937424,273.85
1980-10-07,150.8204483653197,283.0
1980-10-08,151.5684128105172,292.45
1980-10-09,152.34308454992805,300.5
1980-10-10,152.74322782249916,304.55
1980-10-11,153.7357500782571,312.1
1980-10-12,154.96641088760515,320.20000000000005
1980-10-13,155.95803775258534,326.30000000000007
1980-10-14,157.21637593480548,333.20000000000005
1980-10-15,158.46348454421266,339.50000000000006
1980-10-16,159.98007373667554,346.40000000000003
1980-10-17,161.69402533702737,353.55
1980-10-18,162.98444009103434,358.85
1980-10-19,164.283597241202,363.90000000000003
1980-10-20,166.4386037872772,371.25000000000006
1980-10-21,169.84965189900214,381.75000000000006
1980-10-22,173.81561681509748,393.3500000000001
1980-10-23,177.5498166473285,403.9500000000001
1980-10-24,180.40577649270648,412.0000000000001
1980-10-25,183.19939467292664,419.60000000000014
1980-10-26,187.6736949481776,430.70000000000016
1980-10-27,193.00929242740244,443.40000000000015
1980-10-28,199.2136974123067,457.70000000000016
1980-10-29,203.32371472936325,467.40000000000015
1980-10-30,205.4787153905046,472.8000000000001
1980-10-31,207.68201289221938,478.15000000000015
1980-11-01,209.85233082842112,483.3000000000001
1980-11-02,211.04289556249873,486.5500000000001
1980-11-03,211.83262310387633,489.0500000000001
1980-11-04,212.4088730461087,491.15000000000015
1980-11-05,212.9822771714512,493.25000000000017
1980-11-06,213.9937902433963,496.20000000000016
1980-11-07,214.3035156837498,497.8000000000002
1980-11-08,215.07411172913842,500.3000000000002
1980-11-09,216.68467689852605,504.45000000000016
1980-11-10,218.10956769003337,508.25000000000017
1980-11-11,220.0343772310852,513.0500000000002
1980-11-12,221.1940586905268,516.3500000000001
1980-11-13,223.07630412147205,521.1000000000001
1980-11-14,226.74908607760455,529.4500000000002
1980-11-15,231.5500451622572,540.1000000000001
1980-11-16,237.17243379581754,552.4500000000002
1980-11-17,242.20375780323585,563.6500000000002
1980-11-18,245.20018178149851,570.7500000000002
1980-11-19,248.3800835858717,578.2500000000002
1980-11-20,252.9847281540499,588.7000000000003
1980-11-21,257.6442134255354,599.3000000000003
1980-11-22,262.93869109630276,611.2500000000003
1980-11-23,268.5988741747422,624.0000000000003
1980-11-24,274.38257765559996,637.0500000000003
1980-11-25,276.79793219763917,643.1000000000003
1980-11-26,277.7750783033109,646.1500000000002
1980-11-27,279.1528167576466,650.0500000000002
1980-11-28,279.38959964957013,651.5500000000002
1980-11-29,279.38959964957013,652.4500000000002
1980-11-30,279.6484905168541,654.0000000000001
1980-12-01,280.4464260899717,656.7000000000002
1980-12-02,281.3592187036126,659.6500000000002
1980-12-03,281.8961379101089,661.8000000000002
1980-12-04,282.8741859802249,664.9000000000002
1980-12-05,284.84895830264685,670.1500000000002
1980-12-06,285.5675885873346,672.7000000000002
1980-12-07,285.5675885873346,673.6500000000002
1980-12-08,285.7292152912696,675.0000000000002
1980-12-09,286.69725216261617,678.1000000000003
1980-12-10,288.8372611102108,683.7500000000002
1980-12-11,292.2377998634912,692.1500000000002
1980-12-12,295.72556384510494,700.7500000000002
1980-12-13,299.6446238778881,710.3000000000002
1980-12-14,303.1932909518049,719.0500000000002
1980-12-15,304.33700463719845,722.5500000000002
1980-12-16,305.82273809047484,726.8000000000002
1980-12-17,307.8558657911073,732.2500000000002
1980-12-18,308.4952280182828,734.6500000000002
1980-12-19,309.15724427379035,737.1000000000003
1980-12-20,310.0017870631411,739.9500000000003
1980-12-21,311.82789662320465,744.9500000000003
1980-12-22,314.22513190079184,751.2000000000003
1980-12-23,318.40463327297266,761.3500000000003
1980-12-24,322.08353844473874,770.4000000000002
1980-12-25,324.4158108021273,776.5000000000002
1980-12-26,324.9879110856639,778.7500000000002
1980-12-27,325.23987836696983,780.3000000000002
1980-12-28,326.4781909030658,784.0000000000002
1980-12-29,328.03952415663787,788.4000000000002
1980-12-30,331.166613342292,796.2000000000002
1980-12-31,334.3216203296495,804.0500000000002
1981-01-01,336.39510931667127,809.5500000000002
1981-01-02,339.23382083655935,816.7000000000002
1981-01-03,342.8178092523002,825.4500000000002
1981-01-04,343.60556837070527,828.1500000000002
1981-01-05,344.27893564139833,830.6000000000003
1981-01-06,344.7909415403594,832.7000000000003
1981-01-07,345.37418281076106,834.9500000000003
1981-01-08,346.9880574432801,839.4000000000003
1981-01-09,349.33330381369905,845.4000000000003
1981-01-10,350.0153413732609,847.8500000000004
1981-01-11,350.0153413732609,848.8500000000004
1981-01-12,350.67781555666033,851.2500000000003
1981-01-13,351.76962013395047,854.5500000000003
1981-01-14,353.5317734510115,859.2500000000003
1981-01-15,353.6034546849968,860.4000000000003
1981-01-16,354.41868689635453,863.1000000000004
1981-01-17,355.4774963720137,866.3000000000004
1981-01-18,356.5402281218873,869.5000000000005
1981-01-19,357.7039782173404,872.9000000000004
1981-01-20,358.7749028933084,876.1000000000005
1981-01-21,360.9497204206676,881.5500000000005
1981-01-22,363.77131498982544,888.3000000000005
1981-01-23,367.71331543220566,897.3000000000005
1981-01-24,371.2019081188162,905.3500000000005
1981-01-25,373.2146301119269,910.4000000000004
1981-01-26,375.6354913435872,916.2500000000005
1981-01-27,378.3428868582907,922.6500000000004
1981-01-28,381.03733957522013,929.0000000000005
1981-01-29,383.11171426152816,934.1000000000005
1981-01-30,383.9758167347128,936.8000000000005
1981-01-31,385.43127347245274,940.6500000000005
1981-02-01,388.2277613115611,947.1000000000006
1981-02-02,390.41900158806504,952.3500000000006
1981-02-03,392.0509923982263,956.5000000000006
1981-02-04,393.27448506290665,959.8500000000006
1981-02-05,395.05341113823056,964.2500000000006
1981-02-06,398.418700728597,971.6500000000005
1981-02-07,402.80502734305384,980.9500000000005
1981-02-08,407.05424654384586,989.9500000000005
1981-02-09,410.3642005154616,997.1500000000005
1981-02-10,411.11544840920845,999.5500000000005
1981-02-11,411.87057736187256,1001.9500000000005
1981-02-12,412.5754103956282,1004.2500000000005
1981-02-13,413.2021708785244,1006.4000000000004
1981-02-14,413.72264414454094,1008.3500000000005
1981-02-15,414.41108278530834,1010.6000000000005
1981-02-16,415.6568207110531,1013.8500000000005
1981-02-17,416.49171622981686,1016.3500000000005
1981-02-18,416.88340635510946,1018.0500000000005
1981-02-19,416.9115334311135,1019.1000000000005
1981-02-20,417.0811981064649,1020.4000000000004
1981-02-21,417.0811981064649,1021.3500000000005
1981-02-22,417.1097796388435,1022.4000000000004
1981-02-23,417.16725000816183,1023.5000000000005
1981-02-24,417.1961398764102,1024.5500000000004
1981-02-25,417.1961398764102,1025.3500000000004
1981-02-26,417.1961398764102,1025.7500000000005
1981-02-27,418.28245290922206,1028.6000000000004
1981-02-28,420.37825430573474,1033.1500000000003
1981-03-01,423.40538350702843,1039.2500000000002
1981-03-02,426.0311282997559,1044.6500000000003
1981-03-03,427.74107811546673,1048.5000000000002
1981-03-04,428.07284960485634,1050.0500000000002
1981-03-05,429.74065640235705,1053.8000000000002
