Date,Total Degree Days,Sum Unaffected Daily Thermal Time
1980-11-01,4.1499999999999995,5.1499999999999995
1980-11-02,6.3999999999999995,8.399999999999999
1980-11-03,7.8999999999999995,10.899999999999999
1980-11-04,9.0,12.999999999999998
1980-11-05,10.1,15.099999999999998
1980-11-06,12.049999999999999,18.049999999999997
1980-11-07,12.649999999999999,19.65
1980-11-08,14.149999999999999,22.15
1980-11-09,17.299999999999997,26.299999999999997
1980-11-10,20.099999999999998,30.099999999999998
1980-11-11,23.9,34.9
1980-11-12,26.2,38.199999999999996
1980-11-13,29.95,42.949999999999996
1980-11-14,37.3,51.3
1980-11-15,46.949999999999996,61.949999999999996
1980-11-16,58.3,74.3
1980-11-17,68.5,85.5
1980-11-18,74.6,92.6
1980-11-19,81.1,100.1
1980-11-20,90.55,110.55
1980-11-21,100.15,121.14999999999999
1980-11-22,111.10000000000001,133.1
1980-11-23,122.85000000000001,145.85
1980-11-24,134.9,158.9
1980-11-25,139.95000000000002,164.95000000000002
1980-11-26,142.00000000000003,168.00000000000003
1980-11-27,144.90000000000003,171.90000000000003
1980-11-28,145.40000000000003,173.40000000000003
1980-11-29,145.40000000000003,174.30000000000004
1980-11-30,145.95000000000005,175.85000000000005
1980-12-01,147.65000000000003,178.55000000000004
1980-12-02,149.60000000000002,181.50000000000003
1980-12-03,151.60875166172468,183.65000000000003
1980-12-04,152.3874337506573,186.75000000000003
1980-12-05,154.0280153722705,192.00000000000003
1980-12-06,154.65315668754343,194.55000000000004
1980-12-07,154.65315668754343,195.50000000000003
1980-12-08,154.80424685364417,196.85000000000002
1980-12-09,155.73877111437773,199.95000000000002
1980-12-10,157.8787619582778,205.60000000000002
1980-12-11,161.27930071155816,214.00000000000003
1980-12-12,164.76706469317187,222.60000000000002
1980-12-13,168.686124725955,232.15000000000003
1980-12-14,172.23479179987183,240.90000000000003
1980-12-15,173.37850548526535,244.40000000000003
1980-12-16,174.86423893854172,248.65000000000003
1980-12-17,176.89736663917415,254.10000000000002
1980-12-18,177.5367288663496,256.5
1980-12-19,178.19874512185714,258.95
1980-12-20,179.04328791120784,261.8
1980-12-21,180.8693974712714,266.8
1980-12-22,183.26663274885863,273.05
1980-12-23,187.44613412103942,283.2
1980-12-24,191.1250392928055,292.25
1980-12-25,193.45731165019401,298.35
1980-12-26,194.02941193373061,300.6
1980-12-27,194.2813792150366,302.15000000000003
1980-12-28,195.51969175113257,305.85
1980-12-29,197.08102500470466,310.25
1980-12-30,200.20811419035883,318.05
